PSR,Observatory,Nepochs,Epoch1,RMS1,Epoch2,RMS2,Epoch3,RMS3,Epoch4,RMS4,Epoch5,RMS5
J0340+4130,GBT,4,2005,nan,2012,1.0770909586985,2020,0.53854547934925,2025,0.16924851574454,,
J0605+3757,GBT,4,2005,nan,2017,2.08494941888376,2020,1.04247470944188,2025,0.327618193894146,,
J0610-2100,GBT,4,2005,nan,2017,0.996646680528534,2020,0.498323340264267,2025,0.156607916944175,,
J0613-0200,GBT,4,2005,0.821076702682463,2010,0.269767815405133,2020,0.134883907702566,2025,0.0423899225819667,,
J0636+5128,GBT,4,2005,nan,2014,0.313521786876071,2020,0.156760893438036,2025,0.0492651958999541,,
J0645+5158,GBT,4,2005,nan,2011,0.22165641910325,2020,0.110828209551625,2025,0.034829946009208,,
J0740+6620,GBT,4,2005,nan,2014,0.270038049097254,2020,0.135019024548627,2025,0.0424323857100121,,
J0931-1902,GBT,4,2005,nan,2013,0.911593874549635,2020,0.455796937274817,2025,0.143243157862703,,
J1012+5307,GBT,4,2005,0.679447175817337,2010,0.255524708843972,2020,0.127762354421986,2025,0.0401518343076201,,
J1012-4235,GBT,4,2005,nan,2017,3.25574462894895,2020,1.62787231447447,2025,0.511590912209218,,
J1024-0719,GBT,4,2005,nan,2010,0.39354609906852,2020,0.19677304953426,2025,0.0618398034135251,,
J1125+7819,GBT,4,2005,nan,2014,0.58865192257691,2020,0.294325961288455,2025,0.0924977258250293,,
J1455-3330,GBT,4,2005,2.29786541597962,2010,0.783214205297989,2020,0.391607102648995,2025,0.123070239041742,,
J1600-3053,GBT,5,2005,nan,2008,0.479430902308533,2010,0.140160237737369,2020,0.0700801188686846,2025,0.0220240565681805
J1614-2230,GBT,5,2005,nan,2009,0.864004082335676,2010,0.253329172999438,2020,0.126664586499719,2025,0.0398068391333962
J1630+3734,GBT,4,2005,nan,2017,0.548934264333629,2020,0.274467132166815,2025,0.086256697941324,,
J1643-1224,GBT,4,2005,1.02701424310753,2010,0.330855110341735,2020,0.165427555170868,2025,0.0519888649139699,,
J1705-1903,GBT,4,2005,nan,2017,0.121527236700554,2020,0.060763618350277,2025,0.0190961629266276,,
J1719-1438,GBT,4,2005,nan,2017,1.27452493181737,2020,0.637262465908686,2025,0.200272271573197,,
J1730-2304,GBT,4,2005,nan,2017,0.374439165424044,2020,0.187219582712022,2025,0.0588374384473718,,
