,PSR,Observatory,Nepochs,Epoch1,RMS1,Epoch2,RMS2,Epoch3,RMS3,Epoch4,RMS4,Epoch5,RMS5,RAJ,DECJ
0,J0340+4130,GBT,4,2005,,2012,1.0770909586985,2020.0,1.7044942318029601,2025.0,0.20807698129872895,,,0.9599310885968813,0.7243116395776468
1,J0605+3757,GBT,4,2005,,2017,2.08494941888376,2020.0,3.2970222217988505,2025.0,0.39911013547202295,,,1.5926129424448257,0.6623524511318482
2,J0610-2100,GBT,4,2005,,2017,0.996646680528534,2020.0,1.57837181374993,2025.0,0.194321565834343,,,1.6144295580947547,-0.3665191429188092
3,J0613-0200,GBT,4,2005,0.8210767026824631,2010,0.269767815405133,2020.0,0.42851781669676403,2025.0,0.054510688085322,,,1.6275195274847123,-0.03490658503988659
4,J0636+5128,GBT,4,2005,,2014,0.3135217868760711,2020.0,0.499019256010216,2025.0,0.0647937188972374,,,1.7278759594743862,0.8982627883597483
5,J0645+5158,GBT,4,2005,,2011,0.22165641910324999,2020.0,0.351755649903649,2025.0,0.0442929147074133,,,1.7671458676442586,0.90698943461972
6,J0740+6620,GBT,4,2005,,2014,0.27003804909725404,2020.0,0.43085830744111203,2025.0,0.0572889319373561,,,2.0071286397934793,1.157735070489572
7,J0931-1902,GBT,4,2005,,2013,0.911593874549635,2020.0,1.4461554000985601,2025.0,0.181437862100645,,,2.491457507221906,-0.3321943342962541
8,J1012+5307,GBT,4,2005,0.679447175817337,2010,0.255524708843972,2020.0,0.409113476216382,2025.0,0.0561472626546997,,,2.670353755551324,0.9270607210176548
9,J1012-4235,GBT,4,2005,,2017,3.2557446289489502,2020.0,5.14790169039339,2025.0,0.622385266489522,,,2.670353755551324,-0.7432193731409187
10,J1024-0719,GBT,4,2005,,2010,0.39354609906852,2020.0,0.624995455953828,2025.0,0.0793172168591245,,,2.7227136331111543,-0.12769992360425178
11,J1125+7819,GBT,4,2005,,2014,0.58865192257691,2020.0,0.9362570123376559,2025.0,0.120685774469294,,,2.988876344040288,1.3668836925202257
12,J1455-3330,GBT,4,2005,2.2978654159796204,2010,0.7832142052979889,2020.0,1.29990677667205,2025.0,0.22663072035125603,,,3.905174201337312,-0.5846852994181004
13,J1600-3053,GBT,5,2005,,2008,0.47943090230853297,2010.0,0.14016023773736902,2020.0,0.22841471213933104,2025.0,0.0358466330914706,4.188790204786391,-0.5390158506575821
14,J1614-2230,GBT,5,2005,,2009,0.8640040823356759,2010.0,0.253329172999438,2020.0,0.423519696679469,2025.0,0.0765068078431987,4.249876728606193,-0.39269908169872414
15,J1630+3734,GBT,4,2005,,2017,0.5489342643336289,2020.0,0.870858714595877,2025.0,0.109297266206386,,,4.319689898685966,0.6556620223325366
16,J1643-1224,GBT,4,2005,1.02701424310753,2010,0.330855110341735,2020.0,0.582493022858444,2025.0,0.127146321129333,,,4.376413099375782,-0.2164208272472969
17,J1705-1903,GBT,4,2005,,2017,0.121527236700554,2020.0,0.19758775660728398,2025.0,0.0305319505941164,,,4.472406208235469,-0.3324852225049198
18,J1719-1438,GBT,4,2005,,2017,1.2745249318173701,2020.0,2.02187922199778,2025.0,0.25362732009585104,,,4.533492732055271,-0.2553998472085036
19,J1730-2304,GBT,4,2005,,2017,0.374439165424044,2020.0,0.651880333265475,2025.0,0.137551780588533,,,4.581489286485115,-0.40258928079335865
20,J1744-1134,GBT,4,2005,0.208385918066234,2010,0.0803390726595486,2020.0,0.144813687752395,2025.0,0.0336468965209604,,,4.642575810304917,-0.2018764168140108
21,J1747-4036,GBT,4,2005,,2012,0.701638942897941,2020.0,1.10966749732632,2025.0,0.13451736377683002,,,4.655665779694875,-0.7086036763096978
22,J1751-2857,GBT,4,2005,,2017,2.4939775700816,2020.0,3.9443812783992405,2025.0,0.478241861043872,,,4.673119072214819,-0.5052728184523584
23,J1802-2124,GBT,4,2005,,2017,0.75670048380844,2020.0,1.30861731543114,2025.0,0.270196070416449,,,4.721115626644662,-0.3735004599267865
24,J1811-2405,GBT,4,2005,,2017,0.368007149650836,2020.0,0.584113812697116,2025.0,0.0736968639047257,,,4.760385534814534,-0.4203334615219677
25,J1832-0836,GBT,4,2005,,2013,0.35247306095962705,2020.0,0.559808325718996,2025.0,0.0710997152046112,,,4.852015320544236,-0.15009831567151233
26,J1843-1113,GBT,4,2005,,2017,0.221951706289253,2020.0,0.352178401715299,2025.0,0.04428436699221,,,4.90001187497408,-0.19576776443203064
27,J1909-3744,GBT,4,2005,0.0588304743126195,2010,0.0295251284260153,2020.0,0.0516645198308958,2025.0,0.0110751677644634,,,5.0134582763537106,-0.6585709044191936
28,J1911-1114,GBT,4,2005,,2017,1.49704356783263,2020.0,2.3684316821512903,2025.0,0.288236792477808,,,5.022184922613683,-0.19605865264069636
29,J1918-0642,GBT,4,2005,0.6123163790392271,2010,0.301266850167016,2020.0,0.483119030196205,2025.0,0.0672300331446549,,,5.052728184523584,-0.11693705988362008
30,J2010-1323,GBT,5,2005,,2009,1.32281317868958,2010.0,0.36958910271625706,2020.0,0.596929395258167,2025.0,0.0879719820556405,5.279620987282847,-0.23358323155857444
31,J2124-3358,GBT,4,2005,,2017,0.83606560168468,2020.0,1.3282197199894,2025.0,0.16916612640343598,,,5.6025068989017965,-0.5928301692607406
32,J2145-0750,GBT,4,2005,0.677322757167559,2010,0.22467374015381,2020.0,0.38209240386149196,2025.0,0.0742573189372374,,,5.6941366846315,-0.13671745807288915
33,J2302+4442,GBT,4,2005,,2012,1.06104288972659,2020.0,1.6834406955494299,2025.0,0.21147697510005303,,,6.030112565640409,0.7801621756414654
34,J1055+4309,GBT,4,2005,,2019,0.372014134070151,2020.0,0.6109624256059979,2025.0,0.0986346241310131,,,2.8623112083836797,0.7531704277538971
35,J1720-1843,GBT,4,2005,,2019,0.372014134070151,2020.0,0.6109624256059979,2025.0,0.0986346241310131,,,4.540756497868917,-0.3267864666854303
36,J1752-2616,GBT,3,2005,,2020,0.6109624256059979,2025.0,0.0986346241310131,,,,,4.680636889934188,-0.4585045499012117
37,J1743-3227,GBT,3,2005,,2020,0.6109624256059979,2025.0,0.0986346241310131,,,,,4.641144437799171,-0.5666341288553347
38,J1839-2115,GBT,3,2005,,2021,0.6109624256059979,2025.0,0.0986346241310131,,,,,4.884681178999955,-0.3709970157995055
39,J0818+6805,GBT,3,2005,,2021,0.6109624256059979,2025.0,0.0986346241310131,,,,,2.1760167857477417,1.1884471897117517
40,J1718-1150,GBT,3,2005,,2022,0.6109624256059979,2025.0,0.0986346241310131,,,,,4.530315490552278,-0.2067663750610856
41,J1748-1613,GBT,3,2005,,2022,0.6109624256059979,2025.0,0.0986346241310131,,,,,4.664023854012768,-0.2832203683358508
42,J1612-4005,GBT,3,2005,,2023,0.6109624256059979,2025.0,0.0986346241310131,,,,,4.244934192259088,-0.6996535726949971
43,J1251+6958,GBT,3,2005,,2023,0.6109624256059979,2025.0,0.0986346241310131,,,,,3.365258012170334,1.2212836716829794
44,J0351+3046,GBT,3,2005,,2024,0.6109624256059979,2025.0,0.0986346241310131,,,,,1.0085380778705295,0.5369843574296482
45,J0721+5157,GBT,3,2005,,2024,0.6109624256059979,2025.0,0.0986346241310131,,,,,1.9243797599629229,0.9069429220631344
46,J0922+7742,GBT,2,2005,,2025,0.098634624,,,,,,,2.4545164805523143,1.3563959815923454
47,J1732-3004,GBT,2,2005,,2025,0.098634624,,,,,,,4.591243349320865,-0.5248504630169145
48,J0659-2409,GBT,2,2005,,2026,0.098634624,,,,,,,1.8313246231137257,-0.4217747529271686
49,J0613-051,GBT,2,2005,,2026,0.098634624,,,,,,,1.6292692968140918,0.04980350460251587
50,J0612+4818,GBT,2,2005,,2027,0.098634624,,,,,,,1.6266229256945517,0.8432487808362862
51,J1747-2750,GBT,2,2005,,2027,0.098634624,,,,,,,4.659950388672763,-0.4858980676774931
